,Product Description,,Qty,Unit Price (CAD),Total (CAD),Product Link
,M3 Heat Inserts,,50,0.0738,3.69,https://www.aliexpress.com/item/1005008666672949.html?spm=a2g0o.productlist.main.4.5ee917acv2Tom0&aem_p4p_detail=2026061418042712590708513957750002023338&algo_pvid=5d0b52f6-3c34-46bc-a333-f806ae457a66&algo_exp_id=5d0b52f6-3c34-46bc-a333-f806ae457a66-3&pdp_ext_f=%7B%22order%22%3A%2216340%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.69%211.42%21%21%2117.45%216.71%21%40210311cc17814854678513132eac1c%2112000046157335299%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000206290047&curPageLogUid=6IFDnkdYh5Zo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008666672949%7C_p_origin_prod%3A&search_p4p_id=2026061418042712590708513957750002023338_1
,Sandpaper,,15,0.08066666667,1.21,https://www.aliexpress.com/item/1005012104535956.html?spm=a2g0o.productlist.main.1.57a06ccfoczZBT&algo_pvid=7e5bf5d6-648f-4f2a-b8f3-a65c7b7cb7ab&algo_exp_id=7e5bf5d6-648f-4f2a-b8f3-a65c7b7cb7ab-35&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.21%210.85%21%21%215.74%214.02%21%402101eee917814856348675973e708c%2112000057536856791%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=LhhxDotHYsMa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012104535956%7C_p_origin_prod%3A
,Paint,,24,0.175,4.2,https://www.aliexpress.com/item/1005005567785602.html?spm=a2g0o.productlist.main.21.487e17b6QLezDo&algo_pvid=2b7634ce-0ea8-4d2e-8e83-254831526320&algo_exp_id=2b7634ce-0ea8-4d2e-8e83-254831526320-0&pdp_ext_f=%7B%22order%22%3A%2241%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.20%212.77%21%21%2119.88%2113.11%21%402101f11417814856940643416eff46%2112000033582565230%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=GT1ATayB9QuS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005567785602%7C_p_origin_prod%3A
,Primer,,1,17.26,17.26,https://www.aliexpress.com/item/1005012483471322.html?spm=a2g0o.productlist.main.1.7e04C7IFC7IFt7&algo_pvid=656ffd9e-a607-4d31-bd13-c38bee13ea3a&algo_exp_id=656ffd9e-a607-4d31-bd13-c38bee13ea3a-1&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2117.26%2112.08%21%21%2112.07%218.45%21%402101eede17814858402153869ec0f0%2112000058525034382%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=OXpnUWbMSVy4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012483471322%7C_p_origin_prod%3A
,Top Coat,,1,13.88,13.88,https://www.amazon.ca/Rust-Oleum-Painters-Touch-Ultra-Semi-Gloss/dp/B081FMDXRY/ref=asc_df_B081FMDXRY?mcid=35b104a3832a3e6f96f299a3ad07eb11&tag=googleshopc0c-20&linkCode=df0&hvadid=706725384447&hvpos=&hvnetw=g&hvrand=11781547463434104624&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9000833&hvtargid=pla-1363778237673&hvocijid=11781547463434104624-B081FMDXRY-&hvexpln=0&gad_source=1&th=1
,M3 x 3mm Screws,,10,0.112,1.12,https://www.moddiy.com/products/1271/M3.0-x-3mm-Black-Screws-CM3X3-5.0.html?srsltid=AfmBOornhHPM9edFS50QEtxrDLm2IjR_cDmvucNqx-Vds_m7r87uMiIkhQw
,3D Printing,,1,33.42,33.42,https://jlc3dp.com/3d-printing-quote
,9V battery,,1,3.97,3.97,https://www.walmart.ca/en/ip/Great-Value-9-V-6LR61-Alkaline-Battery-1-Pack-5-year-storage-life/6000196063059?selectedSellerId=0&wl13=3054
,4x AA Battery pack,,1,2.82,2.82,https://www.aliexpress.com/item/1005004197639879.html?spm=a2g0o.productlist.main.3.78bcrN2irN2iWq&algo_pvid=3959816d-988b-433e-b181-fdd8f41c9674&algo_exp_id=3959816d-988b-433e-b181-fdd8f41c9674-2&pdp_ext_f=%7B%22order%22%3A%22902%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.31%211.41%21%21%2110.96%216.68%21%402103110517810489165878544ef627%2112000028350237278%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=ckLS0CoZgpTw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004197639879%7C_p_origin_prod%3A
,Snap cable connector ,,10,0.305,3.05,https://www.aliexpress.com/item/32874851624.html?spm=a2g0o.productlist.main.2.79ee2770HAfvJg&algo_pvid=e4ddf1f3-6995-4303-8d09-1deeadcd411a&algo_exp_id=e4ddf1f3-6995-4303-8d09-1deeadcd411a-8&pdp_ext_f=%7B%22order%22%3A%22540%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.05%211.43%21%21%212.11%210.99%21%40210319b717820040473403046e7424%2165602788629%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207285297&curPageLogUid=SwmAeShmx63n&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32874851624%7C_p_origin_prod%3A
Total,,,,77.82366667,95.57,
